r,1,0.0269,0.5775
r,2,0.0086,0.2194
r,4,0.0071,0.1846
r,8,0.0066,0.1737
l,1,0.0269,0.5775
l,2,0.0081,0.2089
l,4,0.0068,0.1779
l,8,0.0064,0.1694
